API,LeaseName,WellNumber,WellStatus,WellType,OperatorCode,OperatorName,FieldName,AreaName,District,CountyName,BaseMeridian,Section,Township,Range,Latitude,Longitude,GISSource,isConfidential,isDirectionallyDrilled,SpudDate,WellSymbol
0410700239,Tulare Dome,1,Plugged,DH,08592,Tulare Dome Oil Co.,Any Field,Any Area,Inland,Tulare,MD,17,21S,23E,36.09711075,-119.517662,hud,N,N,,PluggedDH
0410700240,Palmer,1,Plugged,DH,03304,Geo. K. Palmer,Any Field,Any Area,Inland,Tulare,MD,19,21S,23E,36.08862686,-119.5227051,hud,N,N,,PluggedDH
0410700241,Green,48-26,Plugged,DH,01166,C. W. Colgrove,Any Field,Any Area,Inland,Tulare,MD,26,21S,23E,36.06624985,-119.4575729,hud,N,N,,PluggedDH
0410700255,Core Hole,84-35,Plugged,CH,C5640,Chevron U.S.A. Inc.,Any Field,Any Area,Inland,Tulare,MD,35,21S,26E,36.05994415,-119.1251984,hud,N,N,,PluggedCH
0410700256,Lease by Morganton Oil Co.,1,Plugged,DH,06070,Morganton Oil Co.,Any Field,Any Area,Inland,Tulare,MD,01,21S,27E,36.13778305,-119.0166473,hud,N,N,,PluggedDH
0410700257,Lease by Morganton Oil Co.,2,Plugged,DH,06070,Morganton Oil Co.,Any Field,Any Area,Inland,Tulare,MD,01,21S,27E,36.13709641,-119.0158081,hud,N,N,,PluggedDH
0410700258,Lease by G. E. McKinney & Wayne H. Myers,1,Plugged,DH,03197,G. E. McKinney & Wayne H. Myers,Any Field,Any Area,Inland,Tulare,MD,10,21S,27E,36.11216736,-119.0488052,hud,N,N,,PluggedDH
0410700274,Reed,22-6,Plugged,DH,U0200,Union Oil Company of California,Any Field,Any Area,Inland,Tulare,MD,06,22S,26E,36.04833603,-119.2109604,hud,N,N,,PluggedDH
0410700288,Sharman,1,Plugged,DH,02257,Dr. E. Lowell Schaefer,Any Field,Any Area,Inland,Tulare,MD,06,22S,27E,36.0508194,-119.1026688,hud,N,N,,PluggedDH
0410720023,Keeley,1,Plugged,DH,02488,Earl Kelly,Any Field,Any Area,Inland,Tulare,MD,26,20S,26E,36.15981674,-119.1302948,hud,N,N,,PluggedDH
0410720074,Soults,1,Plugged,DH,F2000,Freeport Oil Company,Any Field,Any Area,Inland,Tulare,MD,08,20S,24E,36.20103073,-119.3903046,hud,N,N,,PluggedDH
0410720117,Cardosa,16X,Plugged,DH,T0300,Tannehill Oil Company,Any Field,Any Area,Inland,Tulare,MD,31,19S,25E,36.22867966,-119.3112946,hud,N,N,,PluggedDH
0410720098,Shell-Shannon-Gibraltar,15-1,Plugged,DH,S3100,Shell Western E&P Inc.,Any Field,Any Area,Inland,Tulare,MD,15,18S,24E,36.35725403,-119.3507004,hud,N,N,,PluggedDH
0410720159,France,1,Plugged,DH,S1250,Saratoga Company,Any Field,Any Area,Inland,Tulare,MD,03,22S,27E,36.04807663,-119.0510254,hud,N,N,,PluggedDH
0410720199,Gist Farms Inc.,71-28,Plugged,DH,T1300,"Terra Resources, Inc.",Any Field,Any Area,Inland,Tulare,MD,28,19S,24E,36.25387955,-119.3698273,hud,N,N,,PluggedDH
0410720201,Derby-Union,32-1X,Plugged,DH,D1855,Derby Oil of Calif. Inc.,Any Field,Any Area,Inland,Tulare,MD,01,20S,25E,36.22322083,-119.2208023,hud,N,N,,PluggedDH
0403100614,Corcoran,24-1,Plugged,DH,07498,"Russell, Willis & Vaughan, Ltd.",Any Field,Any Area,Inland,Kings,MD,24,20S,22E,36.16822052,-119.5369339,hud,N,N,08/20/1949,PluggedDH
0403100601,Bettencourt,1,Plugged,DH,07500,Rusty Walters Drilling Co.,Any Field,Any Area,Inland,Kings,MD,04,19S,22E,36.30494308,-119.5932465,hud,N,N,10/12/1955,PluggedDH
0403100612,Corcoran Irrigation,25-1,Plugged,DH,C5640,Chevron U.S.A. Inc.,Any Field,Any Area,Inland,Kings,MD,25,20S,22E,36.16519928,-119.5355759,hud,N,N,05/19/1951,PluggedDH
0403100613,Corcoran,1,Plugged,DH,03815,Harp & Brown,Any Field,Any Area,Inland,Kings,MD,21,20S,22E,36.17471313,-119.5992279,hud,N,N,03/04/1946,PluggedDH
0403100598,Drummond-Union,1-1,Plugged,DH,03842,"Harry C. Long, Oper., Inc.",Any Field,Any Area,Inland,Kings,MD,01,19S,22E,36.30974197,-119.5392303,hud,N,N,06/09/1956,PluggedDH
